new_primary_key,Misc_Comments,Zip_Code,Q25_Sold_Info_Loan_Type,Q25_Sold_Info_Loan_Type_TEXT,Q4_Solar_Panels__KW,Q5_Solar_Panels_Ownership,Q6_Prepaid_or_Zerodown,Q7_Lease_Payment_Monthly,Q8_Solar_Installer_Name,Q9_Prepay_Stipulation,Q10_1_Matrix_Good_Environment,Q10_2_Matrix_Climate_Change_Concern,Q10_3_Matrix_Cleaner_Energy,Q10_4_Matrix_Lower_Electric_Bills,Q10_5_Matrix_Net_Metering_Profit,Q10_6_Matrix_Rent_Property,Q10_7_Matrix_Neighbor_Bob,Q10_8_Matrix_Maintenance_Repair,Q10_9_Matrix_Add_Value_to_Home,Q10_10_Matrix_Go_Off_Grid,Q18_Storage_Familiar,Q19_1_Storage_Usage_Backup,Q19_2_Storage_Usage_LoadShifting,Q19_3_Storage_Usage_OffGrid,Q26_Storage_Influence_HomePurchase,Q20_Storage_Likelyhood_to_Buy_Batteries,Q14_Demographics_Gender,Q13_Demographics_Age,Q17_Demographics_Income_Range,Q17 Income_Range_Holder,Q15_Demographics_Race_Ethnicity,Q15_TEXT_Demographics_Race_Ethnicity,Q16_Demographics_Education,Q11_Qual_Question_1,Q12_Qual_Question_2
1013,,85338,d) Cash,,3.4,a) Leased solar,b) Lease was pre-paid,0,Solar City,c) I don't know,Neutral,Somewhat positive,Somewhat positive,Very positive,Neutral,Neutral,Somewhat positive,Neutral,Neutral,Somewhat negative,b) Somewhat familiar,2,1,3,b) No influence,b) Unlikely,Female,60,"$100,000 or more",100,White,,Bachelor degree,This was a new home and the builder had already installed pre-paid 20-year lease solar system.  I would prefer to have had a owned solar system. / We are Realtors and feel there is a great benefit to solar systems.   / Concerns and difficulty with leases that are collecting monthly payments.  These types of solar leases can create issues when selling a home.  Another concern is when a prepaid lease is toward the end how is that going to effect the sale of a home,Concern is what are we going to do with outdated systems?  How expensive and what kind or environmental issue's will there be?
1022,,85248,a) Conventional,,5,b) Owned solar,c) System is owned,,Sunpower,,Neutral,Neutral,Neutral,Very positive,Neutral,Neutral,Neutral,Neutral,Very positive,Neutral,,2,1,3,b) No influence,a) Very Unlikely,Male,67,"$90,000 â€“ $99,999",90,White,,Bachelor degree,,
1026,"Respondent did not answer Q5 but the data on the house says it was a lease. This seems like it might be a trend among new-home builders to reduce their exposure to investing capital in the solar, while still offering it as an amenity. 
Respondent said ""New Home"" ",85338,a) Conventional,,,a) Leased solar,,,,,Somewhat positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,e) Never heard of it,1,2,3,b) No influence,b) Unlikely,Female,45,"$100,000 or more",100,White,,Graduate degree,"Yes, lower energy bills",Solar was a large factor in our decision to buy this home
1048,,85338,a) Conventional,,,b) Owned solar,c) System is owned,,,,Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Neutral,Very positive,Very positive,d) Vaguely familiar,1,,,b) No influence,,Male,59,"$50,000 â€“ $59,999",50,White,,Bachelor degree,Yes it has - it has cut our electric bill 1/3 the cost.,We think it great! I am all for solar. Most Arizona homes should put solar on their homes. 
1059,Responded via internet,85213,a) Conventional,,2.5,b) Owned solar,c) System is owned,,American Solar and Roofing,,Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Somewhat positive,Neutral,Somewhat positive,Neutral,Somewhat positive,Very negative,c) A Little familiar,2,1,3,b) No influence,a) Very Unlikely,Male,44,"$100,000 or more",100,White,,Bachelor degree,I was hoping for a bit more offset in my electric bill but other wise satisfied with the system,
1068,,85375,b) FHA,,,a) Leased solar,b) Lease was pre-paid,,NRG,"b) No, this was not a stipulation",Very positive,Very positive,Very positive,Very positive,Somewhat positive,Very negative,Somewhat positive,Very positive,Very positive,Very positive,b) Somewhat familiar,,,1,c) More likely to buy,c) Undecided,Male,85,"$50,000 â€“ $59,999",50,White,,Some college but no degree,Saves money / In August 2013 $355. July 2015 $10.37,Most people don't know much about solar.
1073,,85351,c) VA,,,a) Leased solar,a) Took over payments on the lease,79,Solar City,"b) No, this was not a stipulation",Neutral,Neutral,Neutral,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,c) A Little familiar,,1,,b) No influence,c) Undecided,Male,71,"$50,000 â€“ $59,999",50,Other or multiple race/ethnicity,American,Trade/technical/vocational training,Yes,
1083,,85379,d) Cash,,11.772,a) Leased solar,a) Took over payments on the lease,142.53,SunPower Capital LLC,"b) No, this was not a stipulation",Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Neutral,Very positive,Neutral,d) Vaguely familiar,1,2,3,c) More likely to buy,c) Undecided,Male,68,"$20,000 - $29,999",20,White,,Graduate degree,"Solar system is great and works as promised, but the company is hopeless!","If the system hardware is owned and serviced by the company, I don't understand why they won't add extra solar arrays to my home, as I have requested. I have the space available and the system would handle greater capacity."
1085,,85383,d) Cash,,,a) Leased solar,b) Lease was pre-paid,,Solar City,"a) Yes, this was a stipulation",Very positive,Very positive,Very positive,Very positive,Very positive,Very positive,Very positive,Neutral,Very positive,Very positive,,1,3,2,c) More likely to buy,c) Undecided,Male,70,"$100,000 or more",100,White,,Some college but no degree,Yes,
1099,,85253,a) Conventional,,,b) Owned solar,c) System is owned,0,Sun Edison /Echo Solar,,Neutral,Neutral,Neutral,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,e) Never heard of it,3,1,2,b) No influence,c) Undecided,Male,55,"$100,000 or more",100,White,,Bachelor degree,No! I feel that the cost far out ways the benefits.   I would not recommend it.,See above!
1105,,85374,c) VA,,,a) Leased solar,b) Lease was pre-paid,,Solar City,"a) Yes, this was a stipulation",Very positive,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,e) Never heard of it,,1,,b) No influence,c) Undecided,Male,51,"$100,000 or more",100,White,,Associate degree,Yes,
1115,,85338,a) Conventional,,3.01,a) Leased solar,b) Lease was pre-paid,,Solar City,c) I don't know,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Very positive,Very positive,Very positive,Very positive,d) Vaguely familiar,1,2,3,c) More likely to buy,,Male,66,"$70,000 â€“ $79,999",70,White,,Associate degree,,
1129,,85029,a) Conventional,,6.58,a) Leased solar,a) Took over payments on the lease,89,Solar City,"a) Yes, this was a stipulation",Somewhat positive,Neutral,Somewhat positive,Very positive,Somewhat positive,Neutral,Neutral,Very positive,Somewhat negative,Neutral,b) Somewhat familiar,,1,,a) Less likely to buy,b) Unlikely,Male,69,"$90,000 â€“ $99,999",90,White,,Bachelor degree,For the most part yes but APS is a problem and continues to be a product. They pay be $.03 per KWH they buy from me - that is stealing. They are solar unfriendly but say they are favorable. Their solar dept. is painful to work with concerning any issue. ,I and APS do not agree and they are not customer friendly. APS and SRP overcharge customer and pay us very little for the power we supply to the grid. The Corporation Commission (Arizona) needs to for these companies to pay us fair market value for the electricity they have to buy from us. That issue seems to irritate the power companies. 
1144,"Duplicate paper survey responses. Apparent ballot stuffing due to late response from round 1 of mailings. Latest answers recorded, even though they differ from the first time he answered. ",85338,d) Cash,,3,b) Owned solar,c) System is owned,,Echo,,Somewhat positive,Somewhat positive,Very positive,Very positive,Very positive,Very negative,Neutral,Neutral,Somewhat positive,Somewhat positive,b) Somewhat familiar,1,1,2,b) No influence,d) Somewhat Likely,Male,70,,,White,,Associate degree,,
1150,,85396,d) Cash,,,b) Owned solar,c) System is owned,,,,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Somewhat positive,Somewhat positive,Neutral,Somewhat positive,c) A Little familiar,,,1,c) More likely to buy,d) Somewhat Likely,Male,66,"$50,000 â€“ $59,999",50,White,,Bachelor degree,Yes,It's great especially when owned and not leased!
